origin,destination,weekday,start_hour,end_hour,trip_duration,date
4,5,Mon,20,20,25.1,17/3/20
0,3,Sun,4,4,20.08,16/3/20
5,7,Tue,7,13,336.28,11/3/20
7,7,Sun,23,23,15.05,23/3/20
3,7,Wed,17,17,25.09,26/3/20
1,7,Mon,12,13,60.25,17/3/20
1,7,Tue,19,19,40.16,18/3/20
7,3,Mon,5,6,45.22,24/3/20
7,5,Tue,4,4,30.13,11/3/20
4,4,Fri,13,13,15.04,20/3/20
1,1,Tue,18,19,10.04,18/3/20
6,6,Sat,12,12,10.03,22/3/20
4,4,Tue,17,17,25.09,25/3/20
3,3,Thu,8,8,10.03,13/3/20
2,2,Sun,12,12,5.02,9/3/20
3,3,Wed,16,17,50.21,26/3/20
3,1,Sun,3,3,20.09,16/3/20
4,3,Tue,21,21,20.08,25/3/20
4,4,Mon,17,17,15.05,17/3/20
3,3,Sun,9,9,15.05,23/3/20
6,4,Sat,12,13,15.06,22/3/20
4,6,Fri,11,11,20.07,20/3/20
3,3,Mon,7,8,30.1,24/3/20
3,3,Wed,15,15,15.05,26/3/20
3,3,Tue,8,9,15.05,25/3/20
4,4,Thu,18,18,10.04,13/3/20
7,7,Wed,8,8,40.15,19/3/20
3,3,Tue,8,8,10.03,25/3/20
7,7,Mon,2,2,15.06,24/3/20
1,3,Sun,14,2,687.63,16/3/20
6,4,Fri,12,12,35.12,20/3/20
3,4,Tue,15,16,30.1,25/3/20
4,3,Thu,10,10,20.05,27/3/20
5,5,Tue,11,11,10.03,25/3/20
7,7,Fri,21,21,10.04,20/3/20
1,1,Sat,17,18,15.06,8/3/20
3,3,Mon,11,21,582.31,17/3/20
1,5,Wed,2,2,10.04,12/3/20
3,3,Sat,0,1,25.1,22/3/20
3,3,Thu,10,10,15.04,27/3/20
3,3,Sat,20,21,15.06,22/3/20
5,3,Tue,14,14,25.09,25/3/20
6,6,Fri,15,16,15.05,20/3/20
1,3,Fri,8,8,20.05,20/3/20
3,1,Mon,22,22,20.09,17/3/20
5,5,Tue,10,11,60.2,25/3/20
4,4,Sun,7,8,30.11,23/3/20
4,3,Sun,14,14,15.05,30/3/20
4,6,Mon,9,10,80.31,24/3/20
3,3,Sat,6,15,516.94,22/3/20
4,4,Wed,8,8,15.05,26/3/20
1,3,Mon,6,7,45.19,17/3/20
3,1,Wed,10,11,45.16,26/3/20
3,4,Sun,13,8,1139.73,16/3/20
4,3,Sat,14,14,15.06,8/3/20
4,3,Wed,20,13,1023.91,26/3/20
2,0,Tue,14,15,50.17,25/3/20
4,3,Mon,6,6,30.12,10/3/20
3,1,Thu,15,15,20.07,27/3/20
3,4,Thu,19,1,376.58,20/3/20
6,4,Wed,13,13,45.16,26/3/20
5,3,Tue,19,19,25.1,18/3/20
3,0,Fri,18,18,35.12,20/3/20
4,4,Sun,16,16,40.14,16/3/20
2,6,Tue,7,7,40.14,25/3/20
1,6,Fri,14,14,20.06,20/3/20
7,1,Sun,19,2,406.33,30/3/20
0,5,Sat,16,16,25.11,8/3/20
1,3,Tue,18,19,35.14,11/3/20
0,7,Tue,21,22,40.19,11/3/20
1,4,Tue,0,1,45.16,1/4/20
0,3,Fri,20,20,15.05,20/3/20
7,7,Fri,1,2,15.06,20/3/20
4,4,Fri,12,12,20.07,20/3/20
3,3,Fri,8,8,15.05,20/3/20
5,1,Sun,8,9,60.27,23/3/20
3,4,Wed,10,11,10.03,19/3/20
1,3,Sat,14,14,20.07,22/3/20
1,3,Thu,6,7,45.22,27/3/20
5,4,Fri,10,11,30.12,20/3/20
1,0,Sun,14,14,15.05,23/3/20
1,4,Thu,7,8,35.16,6/3/20
3,1,Thu,13,1,737.51,27/3/20
3,1,Sat,14,15,25.09,22/3/20
4,4,Sat,15,16,10.03,29/3/20
3,4,Tue,21,21,45.19,18/3/20
3,4,Sun,14,15,40.13,30/3/20
4,4,Sat,15,15,15.05,29/3/20
6,4,Wed,19,19,25.08,26/3/20
4,3,Sun,5,12,431.5,30/3/20
4,6,Sat,8,8,35.15,8/3/20
4,4,Mon,12,12,15.05,17/3/20
4,5,Sun,11,11,25.06,30/3/20
3,3,Sun,15,15,20.07,16/3/20
3,4,Sat,16,17,25.08,15/3/20
5,1,Sun,20,20,10.04,16/3/20
4,4,Mon,15,16,25.1,17/3/20
5,4,Sat,20,21,15.06,15/3/20
5,4,Sun,19,20,25.08,30/3/20
0,1,Wed,14,15,35.11,26/3/20
5,4,Sun,12,12,20.07,30/3/20
0,4,Wed,7,7,30.11,19/3/20
3,4,Sat,14,14,30.1,22/3/20
0,1,Thu,17,17,15.05,27/3/20
4,4,Thu,17,18,45.15,20/3/20
4,4,Thu,19,19,15.05,20/3/20
0,1,Fri,17,17,15.05,20/3/20
3,5,Fri,16,17,45.16,20/3/20
4,0,Sun,21,21,30.1,30/3/20
4,4,Tue,15,15,25.08,18/3/20
1,4,Tue,21,22,15.05,1/4/20
4,0,Tue,6,6,20.07,18/3/20
4,5,Sun,15,15,25.08,30/3/20
1,0,Thu,9,9,15.05,27/3/20
4,0,Wed,16,17,40.13,19/3/20
3,5,Sun,16,17,35.12,16/3/20
4,3,Sun,8,14,331.25,16/3/20
0,5,Tue,13,13,20.06,11/3/20
1,0,Thu,6,6,15.05,27/3/20
6,0,Sat,0,1,20.08,8/3/20
1,3,Thu,19,19,25.1,20/3/20
1,5,Tue,13,14,45.15,11/3/20
3,3,Sat,5,5,10.04,15/3/20
3,1,Tue,19,20,30.1,1/4/20
4,0,Thu,7,7,20.07,20/3/20
3,4,Thu,20,20,15.06,20/3/20
6,4,Sat,12,13,20.08,8/3/20
5,3,Fri,15,16,45.15,20/3/20
3,0,Sat,6,6,35.15,15/3/20
5,0,Tue,14,14,35.12,11/3/20
1,6,Fri,9,9,20.08,20/3/20
4,3,Wed,7,7,40.14,19/3/20
4,4,Sat,22,22,35.15,8/3/20
3,3,Tue,16,16,10.03,1/4/20
0,0,Sun,5,6,30.13,23/3/20
5,3,Mon,13,14,25.1,17/3/20
4,5,Thu,22,20,1314.99,20/3/20
3,6,Mon,10,11,35.12,24/3/20
3,6,Fri,7,7,20.07,20/3/20
1,6,Wed,9,10,25.09,12/3/20
6,2,Sat,15,15,30.1,22/3/20
1,6,Wed,10,11,30.11,19/3/20
3,0,Mon,8,13,270.93,31/3/20
1,1,Tue,6,7,35.12,11/3/20
0,3,Tue,8,9,55.21,1/4/20
7,4,Sat,23,0,25.1,22/3/20
3,3,Tue,14,14,20.07,1/4/20
3,3,Tue,13,13,45.15,11/3/20
5,4,Wed,18,18,15.05,19/3/20
3,1,Tue,18,18,15.05,11/3/20
